Category,Complaint Description,Staff Assignment,Auto Priority,Auto Severity,text_length,word_count
Passengers Behaviour,People are dangerously hanging out of the open train door which is extremely dangerous and could result in accidents or deaths easily,TTE Staff,High,Critical,133,22
Unreserved Ticketing,The tatkal emergency ticket booking system is not working properly during the specified time slot preventing passengers from booking urgent tickets,Station Master,Medium,Medium,147,21
Coach - Maintenance,The window glass pane is broken completely shattered with sharp pieces exposed creating serious injury risk for passengers sitting nearby touching it,Maintenance Staff,High,Critical,149,22
Coach - Maintenance,The issue is issue and issue.,Maintenance Staff,High,Critical,29,6
Catering,The tea contains insects and is unsafe to eat.,Catering Staff,High,High,46,9
Staff Behaviour,The issue issue which is issue.,Maintenance Staff,High,High,31,6
Medical Assistance,I am reporting that a child is having very severe breathing difficulty asthma attack and needs immediate medical attention oxygen and emergency medication now,Station Master,High,Critical,158,24
Coach - Cleanliness,I am reporting that the housekeeping attendant staff member rudely refused to clean the vomit near the door despite multiple polite requests from passengers,Housekeeping Staff,High,High,156,24
Unreserved Ticketing,My ticket issue and issue.,Station Master,High,High,26,5
Unreserved Ticketing,I am reporting that i was charged full fare for a confirmed ticket but received a waitlisted ticket status which is completely wrong and unfair to passengers,Station Master,High,High,157,27
Catering,The cutlery spoons and forks provided were visibly dirty unwashed and unhygienic with food particles stuck on them from previous use,Catering Staff,High,High,132,21
Passengers Behaviour,Someone is drying their wet clothes by hanging them on the ceiling fan blades in the coach which looks inappropriate and unhygienic,TTE Staff,Low,Low,131,22
Passenger Amenities,There is no proper dustbin waste container provided in our bay area and passengers have nowhere to dispose garbage properly creating mess,TTE Staff,Low,Low,137,22
Water Availability,The water pressure from the tap is too low and barely any water trickles out making it useless for washing hands properly,Maintenance Staff,Medium,Medium,121,22
Water Availability,There is absolutely no water supply at all in the washbasin tap for hand washing after using toilet facilities in our coach,Maintenance Staff,High,High,123,22
Unreserved Ticketing,I was denied refund money even though I canceled the ticket well within the allowed time limit as per official railway refund rules,Station Master,High,High,131,23
Security,I am being continuously followed by a suspicious man since the last station and he boards whenever I board raising stalking concerns,RPF Security,High,Critical,132,22
Corruption,The luggage porter is very demanding excessive money much more than prescribed rates and threatening passengers if they refuse to pay extra amount,Station Master,Medium,Medium,146,23
